Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
8 tỷ,178 m,Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,---,---,Nhà trong hẻm,---,---,---,---,---,---,---,---
4 tỷ,118 m,Đường Nại Hiên Đông 11, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Đông Bắc,---,Cần bán,5m5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,24m,---,---
45 tỷ,467 m,Đường Võ Nguyên Giáp, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,15m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"3,6 tỷ",90 m,31 Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,---,Y,5m,2,Y,18m,3,---
11 tỷ,67 m,Đường Ông Ích Khiêm, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng,Tây,Y,Cần bán,11m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"3,8m",3,Y,---,3,---
"3,36 tỷ",56 m,Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,Đông Nam,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"7,49m",4,---,8m,10,---
"3,1 tỷ",60 m,Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,---,---,---
72 tỷ,2.300 m,191 Đường Đống Đa, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,15m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,10m,10,---,24m,50,---
"6,9 tỷ",100 m,Đường Phạm Hùng, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng,Đông,Y,Cần bán,15m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,20m,4,---
"9,3 tỷ",200 m,Đường Mỹ An, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"11,5m",---,---,---,---,---
"13,5 tỷ",67 m,Đường Lê Đình Dương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,11m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"4,2m",3,Y,16m,2,---
98 tỷ,280 m,Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,Y,Cần bán,24m,Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,14m,15,Y,20m,72,---
"13,5 tỷ",110 m,Đường Bùi Thị Xuân, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,Tây,---,Cần bán,7m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"7,5m",---,---,15m,---,---
"1,49 tỷ",56 m,Đường Võ Chí Công, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,8m,---,Căn hộ chung cư,---,---,19m,---,---,---,---,---
"17,9 tỷ",126 m,Đường Võ Nguyên Giáp, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng,Đông Nam,---,Cần bán,"7,5m",---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,---,7,---,---,15,---
"17,5 tỷ",137 m,Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Tây,Y,Cần bán,11m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"7,3m",3,Y,---,3,---
"7,75 tỷ",90 m,Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,"7,5m",---,Nhà mặt tiền,---,---,"4,5m",3,---,20m,4,---
18 tỷ,100 m,Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Tây,---,Cần bán,15m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
20 tỷ,100 m,Phố Đặng Tiến Đông, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,---,3,---,---,2,---
"11,5 triệu / tháng",83 m,491 Đường Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh,_,---,Cho thuê,---,---,Căn hộ chung cư,---,---,---,---,---,---,2,---
27 tỷ,270 m,Đường Hoàng Thiều Hoa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,14m,5,Y,20m,11,---
"8,2 tỷ",95 m,Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,1m",2,Y,23m,2,---
"6,4 tỷ",52 m,Đường Huỳnh Ngọc Huệ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"5,1m",2,---,"10,65m",3,---
"15,2 tỷ",200 m,Đường Lý Thái Tông, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng,Tây Bắc,---,Cần bán,15m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
440 tỷ,9.000 m,Đường Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông,Y,Cần bán,48m,Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,20m,19,Y,35m,161,---
"4,8 tỷ",60 m,Đường An Thượng 15, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,---,---,"15,3m",---,---
14 tỷ,93 m,Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Tây Nam,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,4,Y,18m,4,---
"5,2 tỷ",100 m,Đường Hoàng Dư Khương, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Nam,---,Cần bán,8m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
90 ngàn,90 m,Đường Đào Công Soạn, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",---,Y,20m,---,---
"5,2 tỷ",70 m,Đường Đông Giang, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,5m,2,---,14m,3,---
"3,8 tỷ",56 m,Đường Nguyễn Xuân Nhĩ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"4,5m",1,---,15m,2,---
800 triệu,73 m,Đường Võ Chí Công, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,---,---,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
36 tỷ,200 m,Đường Lê Thước, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông Nam,Y,Cần bán,15m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,17m,8,Y,13m,17,---
"38,5 tỷ",290 m,Đường Võ Văn Kiệt, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,_,Y,Cần bán,15m,Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,14m,---,---,25m,17,---
22 tỷ,265 m,Đường Nguyễn Đình Tựu, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,15m,6,---,"18,2m",6,---
"11,3 tỷ",125 m,Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng,Bắc,---,Cần bán,33m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,5m,5,---,25m,14,---
"5,2 tỷ",81 m,Đường Đinh Núp, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,---,Y,"4,5m",3,Y,18m,4,---
"4,2 tỷ",70 m,Đường Lê Chân, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,"4,7m",---,---,15m,---,---
